x1,y
60001,10533.597612752023
60002,3689.54344766302
60003,15510.363091860574
60004,7639.833267613265
60005,7003.856921582945
60006,13387.331325767302
60007,15779.798339813482
60008,10206.665714184159
60009,13403.662093783569
60010,7500.786835368215
60011,2529.598734970934
60012,1700.29393377629
60013,4945.585707523962
60014,5455.456829795261
60015,8132.3276289117875
60016,-972.0582339707362
60017,-1929.3827599822998
60018,3790.6724160805816
60019,1394.4662493491978
60020,9522.223306719487
60021,2853.5573559582026
60022,9737.269504189619
60023,13931.862105271164
60024,6741.804640725975
60025,12758.400957068043
60026,11091.646490142153
60027,12752.329036889414
60028,12016.799411077893
60029,-272.95661077124714
60030,-353.2652967291451
60031,2547.6657942253123
60032,5023.74326187656
60033,17298.76118229474
60034,12116.194862001888
60035,14571.815794915807
60036,1600.666035639655
60037,12737.652751331663
60038,9025.666573986931
60039,12413.070654509693
60040,-2206.481550690338
60041,4116.69479633927
60042,10490.063296474891
60043,11647.96378572954
60044,5262.038070884
60045,4796.828537170415
60046,4954.537724621525
60047,9157.602241553213
60048,12652.352084923014
60049,8781.180716563736
60050,6661.90132354336
60051,577.4082144232489
60052,9157.090639166261
60053,6636.883963577369
60054,5435.20624821321
60055,10105.292214652287
60056,23208.535769914168
60057,7776.70087128118
60058,5734.832605831676
60059,10506.891476692785
60060,18586.36479186941
60061,10592.682090071678
60062,14706.832082643014
60063,9360.283715838983
60064,3610.342186243046
60065,8807.676188843825
60066,3974.8253664977765
60067,8426.248564672132
60068,2473.2744636069474
60069,9042.177448503682
60070,1285.9614762252695
60071,10021.810144262865
60072,7814.6852352221595
60073,7863.411278704147
60074,13541.766370608402
60075,11372.044001690701
60076,3413.007212790437
60077,10876.839718345396
60078,11867.578778339606
60079,7167.232334339442
60080,1834.7586561421704
60081,5358.077124871528
60082,3461.398313890155
60083,15545.725150333858
60084,2885.1740882690237
60085,5858.73505231017
60086,8738.321268825968
60087,1948.3398404478767
60088,421.7631154426599
60089,686.9459329192578
